,20.0,22.0,24.0,26.0,28.0,30.0
0.0,0.000160434472,0.000211122227,0.000279316504,0.000352404197,0.000428736792,0.000503316114
40.0,0.00144411856,0.00154240697,0.00164462649,0.0017361003,0.00183124328,0.00186715135
80.0,0.00221102918,0.00219739974,0.00216385094,0.00210697437,0.00206818362,0.00205298164
120.0,0.00118804502,0.00111360801,0.00100090413,0.000900339743,0.000824844523,0.000743487617
160.0,7.58065798e-05,6.05243731e-05,5.54215621e-05,6.26342808e-05,8.16890752e-05,0.000109273496
200.0,0.000692512025,0.000784467033,0.000908530434,0.00100082555,0.00109788333,0.00116340746
240.0,0.00202021888,0.002074474,0.00214497955,0.00215782225,0.00217302446,0.0021971378
280.0,0.00186688907,0.00180162559,0.00171146274,0.00164410227,0.00153585419,0.00145198172
320.0,0.0004858881,0.000414422801,0.000338665908,0.000282718363,0.000239567045,0.000209421298
0.0,0.000160591473,0.000206935321,0.000281331479,0.000350389251,0.000430359243,0.00050080393
