,30.0,35.0,40.0,45.0,50.0
0.0,0.00106839184,0.00108474691,0.00104261609,0.000935902295,0.000782478251
25.7,0.00168367964,0.00155865715,0.00140060962,0.00120481942,0.0009703135
51.4,0.00192114431,0.00173400331,0.0015683549,0.00142524717,0.0012944584
77.1,0.00157516962,0.00147897808,0.00145434053,0.00144988473,0.00151383772
102.9,0.000945663021,0.00098347594,0.00108451466,0.00125933683,0.00144778821
128.6,0.00046953297,0.000618874794,0.000799723028,0.000992373214,0.0011875208
154.3,0.000528149714,0.000665218569,0.000769865117,0.000851352932,0.000876055623
180.0,0.00107412261,0.00107943476,0.00103871711,0.000937603181,0.000783210911
205.7,0.00169626065,0.00156573416,0.00140480348,0.00120062579,0.00097722176
231.4,0.001899914,0.00176886295,0.00157988735,0.00141502509,0.00127820822
257.1,0.00157438347,0.00148657896,0.00144700159,0.0014619414,0.00147897808
282.9,0.000937341538,0.000985124614,0.0011023375,0.00125330826,0.00144831243
308.6,0.000469689985,0.000619162631,0.000796033361,0.000999281649,0.00113510038
334.3,0.000523753464,0.000663884042,0.000770990388,0.00084279594,0.000875139725
0.0,0.00104834465,0.00107665162,0.00104572368,0.000936687284,0.000788025849
