xi_inc_deg,p_inc,phi_opt,rms,rel_rms,xi_peak,entropy
0.24016981091938305,-0.2715193653500861,1.3526301702956054,0.08625639751786893,0.08582323751628698,-0.5497787143782138,4.3800634185990495
11.417464461765746,0.345374681440479,0.8115781021773633,0.1411522787906028,0.13947812606491913,-1.1780972450961724,4.356607404583604
20.651715197762172,0.5197414775331581,0.7592182246175333,0.2628920850554166,0.25375101966576863,-0.9032078879070655,4.371394353777218
26.6616651530058,0.778272898923258,0.7853981633974483,0.3944213313899577,0.3665616345451975,-0.9817477042468103,4.3851616443863675
27.45257816371884,1.077397001530047,0.4363323129985824,0.4967470956632413,0.4445756048598061,-0.9424777960769379,4.379187162740118
9.109924487441162,1.2955328701792852,0.6894050545377601,0.5430295477219418,0.47683476312449313,-0.23561944901923448,4.3554411369054735
-15.746176500327124,1.1179069751505306,0.9075712110370514,0.5112535122669283,0.45496992364697025,-0.43196898986859655,4.384749692991449
-20.186958778802705,0.7472122771067221,0.6719517620178169,0.3847029079606235,0.35852214710503,-0.9424777960769379,4.381994622229239
-19.36814440835684,0.38309919151830174,1.064650843716541,0.16722667866882387,0.16460599680921092,-1.1780972450961724,4.357532852416628
-17.449162608654206,0.3295878596470805,0.026179938779914945,0.12827317637981878,0.12692606544217236,1.0995574287564276,4.325444974603662
-16.477944545940773,-0.6713473059138511,0.8028514559173916,0.3587043503636523,0.33704630584377876,0.07853981633974483,4.3756251416790795
-18.64892355611414,-1.0404454553483855,0.8552113334772214,0.510306246770152,0.45387764735538416,0.11780972450961724,4.362634725964507
-37.00775180778783,-1.2857379218797982,1.0559241974565694,0.5596831080402672,0.4875099873267519,0.07853981633974483,4.2701417430296695
-60.48908983988474,-1.1548280587319488,1.265363707695889,0.5304664565435351,0.46789059196461263,0.11780972450961724,4.342556055357152
-62.34124747469923,-0.8809455176163223,1.2217304763960306,0.4469250155715982,0.40719936177512545,0.19634954084936207,4.366642284086831
-56.849192591831184,-0.6328855158307186,1.160643952576229,0.3427710552405703,0.32365251411887286,0.2748893571891069,4.374724351205735
-48.13262285155031,-0.44730589253549313,1.0122909661567112,0.23318631094577277,0.22662587550858973,0.3534291735288517,4.3745198369574805
-37.50905414678061,-0.34569910442824975,0.9599310885968813,0.17319101567128833,0.17037787533209553,0.39269908169872414,4.37639086236435
-25.207551339276392,-0.29911048222972353,0.8290313946973066,0.11254134556832561,0.11167735821395029,0.43196898986859633,4.377824143657148
-12.527660934254925,-0.2804284689275617,0.6457718232379019,0.09420939596533448,0.0936451254440161,0.39269908169872414,4.379108667937721
-0.24016981091938305,-0.28884270033461734,1.3439035240356338,0.10010749610816806,0.09942745566708473,-0.7461282552275759,4.377743992369688
