,10.0,12.0,14.0,16.0,18.0,20.0
0.0,5.48562821e-05,4.34989888e-05,3.90650712e-05,4.90921811e-05,6.67432687e-05,0.000100217483
25.7,0.000324168737,0.000385480787,0.000472804008,0.000579125306,0.000672755006,0.000783681928
51.4,0.00119957747,0.00129026489,0.00139720226,0.00153742684,0.00161867857,0.00170543417
77.1,0.00200423063,0.00203646906,0.00212243851,0.00216306443,0.0021971378,0.00219949661
102.9,0.00213266048,0.00211457559,0.0020527197,0.00201759767,0.00196150783,0.00188078033
128.6,0.00151986594,0.00144647737,0.00133927772,0.0012223802,0.00113798352,0.00100824307
154.3,0.000608459814,0.000537727261,0.000445118087,0.000346751855,0.00028282305,0.000216983899
180.0,5.73913348e-05,4.49439103e-05,3.72085233e-05,4.70782797e-05,6.37708654e-05,9.56894874e-05
205.7,0.00031631827,0.000371663977,0.000458175986,0.000574755191,0.000649753259,0.00075973809
231.4,0.00119302492,0.00126588915,0.00138069014,0.00148369593,0.00159980718,0.00169757137
257.1,0.00201209378,0.00203332398,0.00211378909,0.00213764049,0.00219346816,0.00219923444
282.9,0.00215808465,0.00212191418,0.00209649047,0.00202100514,0.00198195199,0.00192638626
308.6,0.00154240697,0.00144097349,0.00135002402,0.00123496109,0.0011298582,0.00100929127
334.3,0.000601525244,0.000527259952,0.000432217144,0.000339948165,0.00027860995,0.00021190726
0.0,5.47150339e-05,4.32533743e-05,3.55823686e-05,5.07897967e-05,6.49729627e-05,9.98813121e-05
