,18.0,20.0
0.0,0.00028622488,0.000388647168
25.7,8.21080976e-05,6.52086237e-05
51.4,0.000676706433,0.00055803376
77.1,0.0016189405,0.00147688121
102.9,0.00217669364,0.00213292288
128.6,0.00197723415,0.00204642909
154.3,0.00112304371,0.00128895405
180.0,0.00029786973,0.000402882637
205.7,7.82060015e-05,6.36111145e-05
231.4,0.0006624448,0.000545368355
257.1,0.00159456523,0.00145617523
282.9,0.00217747991,0.00217695558
308.6,0.00195888709,0.00204564258
334.3,0.00112854782,0.00126982073
0.0,0.000290935161,0.000393383583
